Species CopyNumber PercentMatches FullLength ConsensusLength fr_A_cons fr_T_cons fr_G_cons fr_C_cons fr_A_repeat fr_T_repeat fr_G_repeat fr_C_repeat RepeatsNumber
Cuora_mouhotii 52.3 99 417 8 3 4 0 1 157 221 0 40 1
Cuora_pani 64.5 98 515 8 3 5 0 0 189 322 5 0 1
Cuora_picturata 1.9 93 32 17 8 0 2 7 15 1 3 14 3
Cuora_picturata 28.5 87 220 8 3 5 0 0 85 134 0 2 3
Cuora_picturata 43.6 76 218 5 2 3 0 0 84 133 0 2 3
Cuora_trifasciata 16.1 68 273 20 10 10 0 0 113 160 0 1 3
Cuora_trifasciata 32.3 68 273 10 5 5 0 0 113 160 0 1 3
Cuora_trifasciata 52 99 261 5 2 3 0 0 106 156 0 0 3
Cyclemys_atripons 16.1 97 114 7 4 3 0 0 64 49 1 1 2
Cyclemys_atripons 1.9 88 34 18 12 4 0 2 23 7 0 5 2
Cyclemys_dentata 30 96 58 2 1 1 0 0 30 29 0 0 1
Cyclemys_fusca 57 82 103 2 1 1 0 0 57 47 0 0 2
Cyclemys_fusca 14.7 96 102 7 4 3 0 0 57 46 0 0 2
Cyclemys_oldhami 50.8 91 256 5 3 2 0 0 152 104 0 1 2
Cyclemys_oldhami 34.3 71 253 7 4 3 0 0 150 102 0 2 2
Cyclemys_pulchristriata 21.1 97 149 7 4 3 0 0 84 64 1 1 2
Cyclemys_pulchristriata 1.9 88 34 18 12 4 0 2 23 7 0 5 2
Cyclemys_tcheponensis 36.8 90 180 5 3 2 0 0 106 75 0 0 1
Cyclopes_didactylus 1.9 84 37 20 7 7 4 2 14 13 8 3 2
Cyclopes_didactylus 6.8 100 81 12 5 1 2 4 35 7 12 28 2
Cymatogaster_aggregata 1.9 85 43 23 13 4 0 6 22 7 1 14 2
Cymatogaster_aggregata 2.6 80 41 16 7 7 1 1 17 18 4 3 2
Cynoglossus_abbreviatus 2.9 76 97 33 15 13 2 3 40 43 7 8 2
Cynoglossus_abbreviatus 4.7 84 79 18 7 9 1 1 32 37 5 6 2
Cynoglossus_bilineatus 2.1 94 34 17 8 7 1 1 16 15 2 2 1
Cynoglossus_gracilis 9.8 95 174 18 7 7 1 3 68 70 11 26 3
Cynoglossus_gracilis 2.7 83 44 17 8 7 1 1 19 21 3 2 3
Cynoglossus_gracilis 13.5 100 26 2 1 1 0 0 13 14 0 0 3
Cynoglossus_itinus 22.3 100 378 17 6 6 3 2 134 133 67 45 1
Cynoglossus_lineolatus 4.7 84 79 18 7 9 1 1 32 37 5 6 2
Cynoglossus_lineolatus 2.8 87 46 16 7 6 1 2 20 20 3 4 2
Cynoglossus_puncticeps 3 100 221 73 33 24 4 12 99 75 12 36 2
Cynoglossus_puncticeps 40.2 100 682 17 7 8 1 1 281 322 40 40 2
Cynoglossus_semilaevis 12 92 383 32 13 14 2 3 153 168 29 34 1
Cynoglossus_trigrammus 1.9 92 117 61 23 23 3 12 40 47 8 23 3
Cynoglossus_trigrammus 10.2 100 346 34 11 16 3 4 112 164 30 41 3
Cynoglossus_trigrammus 4 99 1597 402 133 105 50 114 529 420 198 451 3
Cynoglossus_zanzibarensis 4.6 72 75 17 7 8 1 1 31 33 4 8 1
Cynopterus_brachyotis 46.2 100 276 6 2 1 1 2 92 46 46 93 1
Cystophora_cristata 93.3 83 523 6 2 1 1 2 168 71 94 191 3
Cystophora_cristata 23.9 86 523 22 7 3 4 8 168 71 94 191 3
Cystophora_cristata 18.6 87 522 29 10 4 5 10 167 71 94 191 3
Dactylomys_dactylinus 18.3 96 182 10 4 2 1 3 74 33 17 59 1
Dactyloptena_orientalis 3.4 78 87 26 15 5 2 4 51 19 6 12 1
Dactyloptena_peterseni 2.1 87 168 79 41 16 6 16 86 41 13 29 4
Dactyloptena_peterseni 2.1 91 111 52 27 12 3 10 58 27 8 19 4
Dactyloptena_peterseni 2.8 80 73 27 14 6 1 6 38 19 2 15 4
Dactyloptena_peterseni 6.4 70 169 27 14 6 3 4 86 41 14 29 4
Dactyloptena_tiltoni 10.3 99 266 26 12 8 3 3 123 82 30 32 1
Damaliscus_lunatus 2.5 75 53 22 9 7 4 2 21 18 11 4 1
Danacetichthys_galathenus 4.7 68 85 18 7 7 1 3 32 35 5 14 2
Danacetichthys_galathenus 2.7 97 148 55 20 23 3 9 55 61 8 25 2
Dasyatis_akajei 2.4 83 62 26 13 7 3 3 28 20 7 8 4
Dasyatis_akajei 2.7 90 31 12 8 3 1 0 22 8 2 0 4
Dasyatis_akajei 2.9 94 134 47 14 18 1 14 41 55 3 36 4
Dasyatis_akajei 1.9 91 49 26 12 8 4 2 23 17 6 4 4
Dasyatis_bennetti 1.9 87 49 26 12 7 4 3 23 16 6 5 4
Dasyatis_bennetti 2.4 81 62 26 13 6 3 4 28 19 7 9 4
Dasyatis_bennetti 2 90 40 20 9 3 0 8 17 7 0 17 4
Dasyatis_bennetti 8.8 83 93 11 8 3 0 0 66 25 1 2 4
Dasyatis_zugei 2 89 52 26 13 9 2 2 24 19 5 5 3
Dasyatis_zugei 4.6 98 605 132 51 47 11 23 236 217 48 105 3
Dasyatis_zugei 2.7 96 128 47 17 20 1 9 45 58 3 23 3
Dasypus_hybridus 3.3 97 267 80 30 29 2 19 99 95 7 67 4
Dasypus_hybridus 17.7 100 105 6 2 1 1 2 35 17 18 36 4
Dasypus_hybridus 2 94 131 65 24 30 4 7 46 64 9 13 4
Dasypus_hybridus 1.9 91 124 64 24 29 4 7 47 60 6 12 4
Dasypus_kappleri 2.5 100 162 66 24 33 4 5 63 76 11 13 3
Dasypus_kappleri 1.9 93 29 15 3 7 1 4 7 14 1 8 3
Dasypus_kappleri 17.5 94 104 6 2 1 1 2 34 12 18 41 3
Dasypus_novemcinctus 4.2 85 270 64 23 32 3 6 92 140 14 25 5
Dasypus_novemcinctus 22.7 100 135 6 2 1 1 2 45 22 23 46 5
Dasypus_novemcinctus 2.3 88 288 127 48 61 7 11 111 136 17 25 5
Dasypus_novemcinctus 3.3 97 267 80 30 30 2 18 99 99 7 63 5
Dasypus_novemcinctus 4.8 83 306 63 24 30 3 6 114 147 17 29 5
Dasypus_pilosus 2.1 82 116 55 25 20 3 7 45 51 8 13 5
Dasypus_pilosus 18.7 100 111 6 2 1 1 2 37 18 19 38 5
Dasypus_pilosus 2.5 92 307 121 44 56 9 12 111 144 23 30 5
Dasypus_pilosus 3.8 86 245 65 24 30 5 6 87 119 18 22 5
Dasypus_pilosus 2.4 97 188 80 30 27 2 21 69 62 5 53 5
Dasypus_sabanicola 3.2 84 202 64 22 31 5 6 68 101 15 19 4
Dasypus_sabanicola 2.4 99 188 80 30 30 2 18 69 71 4 45 4
Dasypus_sabanicola 22.7 100 135 6 2 1 1 2 45 22 23 46 4
Dasypus_sabanicola 2.4 80 306 128 51 58 8 11 123 138 18 28 4
Dasypus_septemcinctus 15.7 100 93 6 2 1 1 2 31 15 16 32 2
Dasypus_septemcinctus 2.3 96 187 80 30 29 2 19 69 66 5 48 2
Dasypus_yepesi 4.1 94 263 65 23 31 5 6 92 132 20 20 4
Dasypus_yepesi 10.7 96 63 6 2 1 1 2 21 10 10 22 4
Dasypus_yepesi 2 95 262 130 46 62 10 12 91 132 20 20 4
Dasypus_yepesi 2.3 98 180 80 30 28 2 20 66 64 5 46 4
Dasyurus_hallucatus 6.8 100 60 9 4 4 0 1 27 28 0 6 6
Dasyurus_hallucatus 8.8 88 159 18 2 9 7 0 20 79 60 1 6
Dasyurus_hallucatus 4.5 100 44 10 5 4 0 1 25 16 0 4 6
Dasyurus_hallucatus 2.6 95 67 27 12 12 0 3 30 32 0 6 6
Dasyurus_hallucatus 24.8 88 148 6 1 3 2 0 18 74 56 1 6
Dasyurus_hallucatus 6.5 86 158 24 3 12 9 0 19 79 60 1 6
Daubentonia_madagascariensis 1.9 100 30 16 11 2 0 3 21 4 0 6 2
Daubentonia_madagascariensis 22.8 100 250 11 4 2 2 3 92 46 45 68 2
Deinagkistrodon_acutus 1.9 81 51 27 11 8 0 8 20 15 2 15 6
Deinagkistrodon_acutus 1.9 81 51 27 11 8 0 8 20 15 2 15 6
Deinagkistrodon_acutus 1.9 81 51 27 11 8 0 8 20 15 2 15 6
Deinagkistrodon_acutus 1.9 81 51 27 11 8 0 8 20 15 2 15 6
Deinagkistrodon_acutus 2.1 100 24 12 4 4 2 2 8 9 4 4 6
Deinagkistrodon_acutus 2.1 100 24 12 4 4 2 2 8 9 4 4 6
Dendrocopos_leucotos 42 85 41 1 0 1 0 0 0 39 2 1 4
Dendrocopos_leucotos 42 85 41 1 0 1 0 0 0 39 2 1 4
Dendrocopos_leucotos 2 95 40 21 0 19 1 1 0 38 2 1 4
Dendrocopos_leucotos 2 95 40 21 0 19 1 1 0 38 2 1 4
Dendrocopos_major 3.7 90 40 11 0 10 1 0 1 38 2 0 6
Dendrocopos_major 3.7 90 40 11 0 10 1 0 1 38 2 0 6
Dendrocopos_major 41 87 40 1 0 1 0 0 1 38 2 0 6
Dendrocopos_major 41 87 40 1 0 1 0 0 1 38 2 0 6
Dendrocopos_major 2 95 40 21 1 19 1 0 1 38 2 0 6
Dendrocopos_major 2 95 40 21 1 19 1 0 1 38 2 0 6
Dendrocygna_javanica 2.1 90 41 20 7 7 3 3 14 14 6 8 1
Dendrohyrax_dorsalis 37.3 99 223 6 2 1 1 2 74 36 38 76 1
Dendrophysa_russelii 2.4 90 37 16 8 8 0 0 17 19 2 0 2
Dendrophysa_russelii 2.6 84 41 16 7 7 1 1 18 20 3 1 2
Denticeps_clupeoides 12.3 99 429 35 13 15 3 4 160 184 37 49 1
Derichthys_serpentinus 4.3 90 42 10 5 1 2 2 25 4 6 8 4
Derichthys_serpentinus 6.8 82 74 11 7 4 0 0 43 25 2 5 4
Derichthys_serpentinus 2.2 100 47 22 12 8 1 1 27 17 2 2 4
Derichthys_serpentinus 2.3 85 47 20 12 2 2 4 27 5 6 10 4
Dermophis_mexicanus 2.3 87 40 18 10 7 0 1 23 16 0 2 1
Desmodus_rotundus 4.1 100 90 22 4 8 7 3 16 33 30 12 2
Desmodus_rotundus 8.9 100 70 8 1 4 3 0 9 36 26 0 2
Desmognathus_fuscus 8.6 92 80 9 6 3 0 0 56 25 0 0 4
Desmognathus_fuscus 2 82 44 22 13 8 0 1 23 21 0 1 4
Desmognathus_fuscus 13.7 95 133 10 7 3 0 0 92 32 0 10 4
Desmognathus_fuscus 3.5 99 266 77 23 35 3 16 76 124 10 57 4
Devario_laoensis 1.9 88 34 18 8 6 0 4 13 13 0 9 1
Dicentrarchus_labrax 2.1 83 45 22 12 6 1 3 21 15 3 7 3
Dicentrarchus_labrax 16.9 98 814 48 19 20 5 4 314 339 93 69 3
Dicentrarchus_labrax 4.2 94 71 17 8 5 1 3 29 26 7 10 3
Dicentrarchus_punctatus 2 84 141 72 27 31 7 7 49 68 15 10 4
Dicentrarchus_punctatus 4.7 78 161 34 12 17 3 2 56 78 16 12 4
Dicentrarchus_punctatus 2.1 93 29 15 2 4 0 9 4 7 0 19 4
Dicentrarchus_punctatus 3.6 82 61 17 6 8 2 1 22 29 6 5 4
Didelphis_virginiana 24.8 79 248 10 8 2 0 0 180 69 0 0 6
Didelphis_virginiana 2.2 93 57 26 11 9 2 4 25 22 3 8 6
Didelphis_virginiana 3.8 82 243 62 48 14 0 0 177 67 0 0 6
Didelphis_virginiana 45.3 73 143 3 2 1 0 0 100 44 0 0 6
Didelphis_virginiana 9.5 92 195 20 10 7 2 1 99 72 17 8 6
Didelphis_virginiana 15.4 78 252 16 12 4 0 0 183 70 0 0 6
Dimidiochromis_compressiceps 2.2 100 25 12 2 2 1 7 4 5 2 15 1
Dinornis_giganteus 2.7 94 29 11 4 4 1 2 11 11 2 6 1
Diplometopon_zarudnyi 6.1 100 261 43 14 10 7 12 86 61 42 73 1
Dipturus_kwangtungensis 3 66 66 22 9 9 1 3 24 27 4 12 1
Diptychus_maculatus 6.4 98 237 37 9 7 13 8 62 45 82 49 2
Diptychus_maculatus 12.5 100 24 2 1 1 0 0 12 13 0 0 2
Dipus_sagitta 43.8 96 261 6 2 0 1 3 95 33 36 98 3
Dipus_sagitta 33.8 98 203 6 2 1 1 2 69 32 34 69 3
Dipus_sagitta 27 96 53 2 1 0 0 1 26 0 1 27 3
Diretmus_argenteus 2 96 765 383 104 85 78 116 204 171 161 230 1
Discoglossus_galganoi 4 97 347 87 28 37 8 14 110 147 32 59 1
Discogobio_tetrabarbatus 12.5 100 24 2 1 1 0 0 12 13 0 0 1
Discogobio_yunnanensis 15.5 100 30 2 1 1 0 0 15 16 0 0 1
Ditrema_temminckii 3.2 100 34 11 6 1 2 2 19 3 6 7 1
Doederleinia_berycoides 2.1 82 51 25 7 1 2 15 13 2 5 32 1
Dopasia_gracilis 17.7 99 953 54 16 12 8 18 281 210 141 322 2
Dopasia_gracilis 8 100 183 23 6 6 4 7 48 48 32 56 2
Dopasia_harti 5.2 100 51 10 5 0 1 4 26 0 5 21 4
Dopasia_harti 8.1 93 296 36 11 4 4 17 95 33 32 137 4
Dopasia_harti 2 95 639 323 110 76 24 113 213 155 49 223 4
Dopasia_harti 11.7 98 626 54 18 13 4 19 211 152 44 220 4
Dorosoma_petenense 4.7 95 175 38 13 15 5 5 64 69 22 21 2
Dorosoma_petenense 7.3 72 138 19 6 7 4 2 49 54 18 18 2
Draconetta_xenica 1.9 95 198 105 35 40 11 19 65 75 24 35 1
Dugong_dugon 2 88 31 17 4 6 0 7 8 10 0 14 2
Dugong_dugon 66 93 395 6 2 1 1 2 132 62 66 136 2
Dupetor_flavicollis 22.5 99 336 15 10 2 1 2 222 45 24 46 2
Dupetor_flavicollis 1.9 88 33 17 10 2 1 4 20 4 1 9 2
Duttaphrynus_melanostictus 2 89 35 18 7 6 3 2 15 12 5 4 2
Duttaphrynus_melanostictus 3.3 99 336 102 24 24 13 41 75 78 43 141 2
Echinops_telfairi 21.1 88 258 12 4 2 2 4 86 46 44 83 1
Echinosorex_gymnura 64.8 98 386 6 2 1 1 2 128 65 64 130 2
Echinosorex_gymnura 4.4 94 336 76 32 32 6 6 138 143 31 25 2
Echymipera_rufescens_australis 4.8 94 47 10 5 5 0 0 24 23 0 0 2
Echymipera_rufescens_australis 2.5 100 26 11 4 6 1 0 10 15 2 0 2
Ecsenius_bicolor 7.8 82 63 8 4 3 0 1 29 23 4 8 2
Ecsenius_bicolor 2.6 90 63 24 11 8 2 3 29 23 4 8 2
Egretta_eulophotes 4.7 99 382 81 27 32 5 17 132 148 23 80 4
Egretta_eulophotes 36.3 88 489 14 10 1 0 3 345 40 1 104 4
Egretta_eulophotes 71.6 82 489 7 5 1 0 1 345 40 1 104 4
Egretta_eulophotes 4 92 489 122 86 10 0 26 345 40 1 104 4
Egretta_garzetta 5.3 99 432 81 28 33 4 16 153 174 21 85 3
Egretta_garzetta 29.6 91 406 14 10 1 0 3 288 28 1 90 3
Egretta_garzetta 8.3 94 404 49 35 2 0 12 288 27 1 89 3
Elaphe_bimaculata 2.1 94 31 16 10 2 0 4 21 3 0 8 4
Elaphe_bimaculata 2.1 94 31 16 10 2 0 4 21 3 0 8 4
Elaphe_bimaculata 2.4 83 37 16 12 2 1 1 28 6 1 3 4
Elaphe_bimaculata 2.4 83 37 16 12 2 1 1 28 6 1 3 4
Elaphodus_cephalophus 2.5 91 37 15 7 3 0 5 16 7 0 15 1
Elaphurus_davidianus 2.8 85 40 15 6 2 0 7 17 8 0 16 1
Elassoma_evergladei 18.6 99 185 10 2 6 1 1 37 104 19 26 2
Elassoma_evergladei 2.1 100 24 12 5 2 0 5 11 4 0 10 2
Elassoma_zonatum 16.6 95 165 10 3 4 1 2 51 65 17 33 1
Eleotris_oxycephala 2.2 86 37 17 6 7 2 2 14 16 2 6 1
Elephas_maximus 6.8 80 186 28 10 2 4 12 64 19 29 75 5
Elephas_maximus 4.8 83 187 39 14 4 6 15 65 19 29 75 5
Elephas_maximus 33.8 78 184 6 2 1 1 2 64 19 29 73 5
Elephas_maximus 18.2 79 179 10 4 1 1 4 63 18 27 72 5
Elephas_maximus 39.5 98 236 6 2 1 1 2 78 42 41 76 5
Elops_hawaiensis 3.3 75 65 20 8 7 2 3 26 26 5 9 2
Elops_hawaiensis 3.5 89 143 40 15 17 3 5 55 61 12 16 2
Elops_saurus 3.6 85 144 39 15 17 3 4 56 59 13 17 3
Elops_saurus 5.5 73 105 19 7 9 1 2 42 44 8 12 3
Elops_saurus 3.4 70 61 17 6 6 2 3 24 24 6 8 3
Emberiza_pusilla 2.1 100 24 12 1 2 0 9 2 4 0 19 1
Emberiza_tristrami 2.1 100 24 12 1 2 0 9 2 4 0 19 1
Emydura_subglobosa 1.9 89 117 60 15 20 11 14 26 44 21 27 1
Engraulis_encrasicolus 1.9 88 73 38 14 14 4 6 26 32 8 8 1
Engraulis_japonicus 1.9 86 73 38 14 13 4 7 26 31 8 9 1
Enhydra_lutris 7.7 100 152 20 6 3 3 8 46 22 22 63 1
Enhydris_plumbea 2.6 97 54 21 8 9 0 4 20 27 0 8 4
Enhydris_plumbea 2.6 97 54 21 8 9 0 4 20 27 0 8 4
Enhydris_plumbea 2.6 97 54 21 8 9 0 4 20 27 0 8 4
Enhydris_plumbea 2.6 97 54 21 8 9 0 4 20 27 0 8 4
Enophrys_diceraus 6.4 99 337 53 19 21 5 8 121 132 32 53 3
Enophrys_diceraus 3.1 71 60 19 8 7 0 4 25 25 1 10 3
Enophrys_diceraus 10.6 100 189 18 6 8 2 2 63 83 22 22 3
Ensatina_eschscholtzii 2.4 91 38 16 5 11 0 0 10 29 0 0 5
Ensatina_eschscholtzii 2.4 95 38 16 6 10 0 0 11 28 0 0 5
Ensatina_eschscholtzii 2.9 100 25 9 5 3 1 0 15 9 2 0 5
Ensatina_eschscholtzii 2.4 91 38 16 5 11 0 0 10 29 0 0 5
Ensatina_eschscholtzii 2.6 89 44 17 5 12 0 0 11 34 0 0 5
Eopsaltria_australis 1.9 85 39 21 10 1 1 9 19 2 2 17 1
Eozapus_setchuanus 16.7 91 233 14 5 2 2 5 83 36 34 81 1
Epinephelus_akaara 3.1 99 415 133 49 49 12 23 153 154 36 73 1
Epinephelus_areolatus 5.9 100 451 76 30 28 10 8 179 167 59 47 1
Epinephelus_awoara 3 99 406 134 53 50 14 17 162 152 42 51 1
Epinephelus_bleekeri 2.5 85 767 311 103 61 52 95 241 170 143 214 2
Epinephelus_bleekeri 5 83 788 155 49 34 28 44 246 176 147 220 2
Epinephelus_bontoides 8.8 100 324 37 15 16 3 3 131 142 26 26 1
Epinephelus_bruneus 22.1 100 374 17 6 7 2 2 132 154 44 45 1
Epinephelus_coioides 5.8 100 114 20 8 9 2 1 46 52 11 6 1
Epinephelus_coioides_x_Epinephelus_lanceolatus 5.8 100 114 20 8 9 2 1 46 52 11 6 1
Epinephelus_corallicola 8.3 100 148 18 6 9 1 2 50 75 8 16 1
Epinephelus_epistictus 16.4 99 546 33 13 12 3 5 213 204 48 82 1
Epinephelus_fasciatomaculosus 2.4 99 343 141 60 54 9 18 144 138 21 41 1
Epinephelus_fuscoguttatus 10.9 97 189 17 7 7 1 2 81 77 11 21 3
Epinephelus_fuscoguttatus 3.6 98 189 52 22 21 3 6 81 77 11 21 3
Epinephelus_fuscoguttatus 5.5 98 189 34 14 14 2 4 81 77 11 21 3
Epinephelus_fuscoguttatus_x_Epinephelus_lanceolatus 3.6 98 189 52 22 21 3 6 81 77 11 21 3
Epinephelus_fuscoguttatus_x_Epinephelus_lanceolatus 5.5 98 189 34 14 14 2 4 81 77 11 21 3
Epinephelus_fuscoguttatus_x_Epinephelus_lanceolatus 10.9 97 189 17 7 7 1 2 81 77 11 21 3
Epinephelus_lanceolatus 7.8 100 131 17 7 7 1 2 55 54 8 15 1
Epinephelus_merra 2.8 100 291 106 30 25 21 30 81 67 62 82 1
Epinephelus_moara 22.1 100 374 17 6 7 2 2 132 154 44 45 1
Epinephelus_moara_x_Hyporthodus_septemfasciatus 18.1 100 306 17 6 7 2 2 108 126 36 37 1
Epinephelus_moara_x_lanceolatus 32.1 100 544 17 6 7 2 2 192 224 64 65 1
Epinephelus_quoyanus 11.2 78 201 18 8 7 1 2 79 78 17 28 2
Epinephelus_quoyanus 5.6 98 201 36 14 14 3 5 79 78 17 28 2
Epinephelus_sexfasciatus 3.1 100 408 132 56 44 14 18 174 138 42 55 1
Epinephelus_trimaculatus 10.2 100 182 18 8 7 1 2 83 70 10 20 1
Epinephelus_tukula 7.7 98 162 21 9 10 1 1 72 76 7 8 1
Episoriculus_caudatus 4.8 98 379 79 28 35 5 11 137 166 23 54 2
Episoriculus_caudatus 24.8 99 297 12 3 3 2 4 86 62 50 100 2
Episoriculus_fumidus 2.3 82 58 27 11 12 2 2 23 25 4 7 3
Episoriculus_fumidus 5.7 99 452 80 26 34 6 14 148 188 35 82 3
Episoriculus_fumidus 54.9 96 448 8 3 2 1 2 156 110 65 118 3
Episoriculus_macrurus 17 87 32 2 1 1 0 0 16 17 0 0 3
Episoriculus_macrurus 2.8 80 222 80 34 31 4 11 88 89 14 32 3
Episoriculus_macrurus 39.4 100 314 8 3 2 1 2 118 78 39 80 3
Epomophorus_gambianus 23.4 100 280 12 4 2 2 4 94 47 46 94 1
Eptatretus_burgeri 2.9 80 45 15 8 5 0 2 24 18 0 4 3
Eptatretus_burgeri 3.5 99 903 257 65 80 32 80 230 285 105 284 3
Eptatretus_burgeri 2 85 63 31 17 12 0 2 33 26 1 4 3
Eptesicus_serotinus 5.5 100 447 81 33 32 5 11 183 177 28 60 2
Eptesicus_serotinus 59.8 100 358 6 2 1 1 2 120 59 60 120 2
Equus_asinus 1.9 88 51 27 10 10 4 3 18 22 5 7 2
Equus_asinus 10.5 98 252 24 7 1 3 13 77 9 27 140 2
Equus_caballus 29 100 231 8 1 2 2 3 29 58 58 87 1
Equus_grevyi 2 84 52 27 11 10 3 3 19 23 5 6 1
Equus_hemionus 17.2 95 207 12 3 2 2 5 52 27 35 94 2
Equus_hemionus 2 97 82 42 13 9 3 17 26 18 6 33 2
Eremias_argus 2.3 85 46 20 11 9 0 0 25 21 0 1 3
Eremias_argus 7.9 95 514 65 13 16 13 23 103 127 99 186 3
Eremias_argus 2.1 100 24 12 2 3 4 3 4 7 8 6 3
Eremias_brenchleyi 2.9 90 59 21 5 15 0 1 16 41 0 3 8
Eremias_brenchleyi 5.1 83 51 10 2 8 0 0 13 37 0 2 8
Eremias_brenchleyi 1.9 89 36 19 8 11 0 0 15 22 0 0 8
Eremias_brenchleyi 13.6 97 882 65 11 18 11 25 148 251 152 332 8
Eremias_brenchleyi 14.3 99 802 56 22 18 6 10 308 257 95 143 8
Eremias_brenchleyi 2.8 74 53 19 8 11 0 0 21 32 0 1 8
Eremias_brenchleyi 2.1 86 39 19 8 7 1 3 16 17 1 6 8
Eremias_brenchleyi 2.5 94 28 12 4 5 1 2 8 15 3 3 8
Eremias_multiocellata 6.8 99 415 61 12 12 12 25 83 82 80 171 2
Eremias_multiocellata 20.8 99 1166 56 24 16 5 11 492 334 111 230 2
Eremias_przewalskii 12 97 671 56 23 17 6 10 275 204 74 119 4
Eremias_przewalskii 1.9 88 33 18 8 10 0 0 15 18 0 1 4
Eremias_przewalskii 2 97 671 336 138 101 36 61 275 204 74 119 4
Eremias_przewalskii 7.9 99 518 66 10 14 13 29 75 113 101 230 4
Eremias_stummeri 10.4 98 562 54 13 15 6 20 136 149 61 217 4
Eremias_stummeri 2.9 90 30 11 4 7 0 0 11 20 0 0 4
Eremias_stummeri 2.2 84 45 21 9 12 0 0 15 29 1 1 4
Eremias_stummeri 22.1 97 1239 56 23 16 6 11 516 369 125 230 4
Eremias_vermiculata 6.7 85 1152 168 72 48 18 30 477 336 126 214 8
Eremias_vermiculata 4.1 84 40 10 4 6 0 0 15 26 0 0 8
Eremias_vermiculata 3.4 92 35 11 4 7 0 0 11 25 0 0 8
Eremias_vermiculata 18.3 98 1009 55 7 21 6 21 137 368 109 395 8
Eremias_vermiculata 6.1 96 342 56 23 16 7 10 138 100 43 62 8
Eremias_vermiculata 2.2 97 920 424 176 126 43 79 378 273 99 171 8
Eremias_vermiculata 2.4 90 37 16 6 10 0 0 11 26 1 0 8
Eremias_vermiculata 13.1 96 728 56 24 16 6 10 306 209 78 136 8
Eremitalpa_granti 22.5 96 136 6 2 1 1 2 45 23 23 46 4
Eremitalpa_granti 2 85 39 21 8 10 1 2 13 21 1 5 4
Eremitalpa_granti 12.8 100 101 8 3 2 1 2 39 25 12 26 4
Eremitalpa_granti 3.7 93 119 31 13 7 3 8 46 29 14 31 4
Erignathus_barbatus 2 100 31 16 6 4 2 4 12 8 4 8 4
Erignathus_barbatus 1.9 84 38 20 9 4 3 4 17 8 8 6 4
Erignathus_barbatus 2.7 81 80 29 12 5 3 9 28 14 13 26 4
Erignathus_barbatus 9.8 99 237 24 8 3 4 9 79 30 40 89 4
Erimyzon_oblongus 18.5 100 36 2 1 1 0 0 19 18 0 0 2
Erimyzon_oblongus 3.2 76 51 16 6 6 2 2 21 21 5 5 2
Erinaceus_europaeus 37.6 96 301 8 5 3 0 0 170 111 19 2 2
Erinaceus_europaeus 46 100 275 6 2 1 1 2 92 46 46 92 2
Erpetoichthys_calabaricus 2 100 107 54 14 20 7 13 28 40 14 26 2
Erpetoichthys_calabaricus 1.9 89 38 20 7 6 3 4 13 11 7 8 2
Eschrichtius_robustus 2.2 94 32 15 6 4 0 5 12 9 0 12 1
Esomus_metallicus 14 100 27 2 1 1 0 0 14 14 0 0 2
Esomus_metallicus 7.3 100 493 68 29 24 5 10 212 172 37 73 2
Esox_lucius 15.6 100 155 10 4 6 0 0 63 93 0 0 1
Esox_reichertii 33.2 99 330 10 4 6 0 0 133 198 0 0 1
Ethmalosa_fimbriata 8.1 97 304 38 16 16 4 2 130 126 31 18 1
Etrumeus_teres 2.6 82 100 39 16 14 3 6 38 40 8 15 1
Eubalaena_australis 2.2 94 32 15 6 4 0 5 12 9 0 12 1
Euchoreutes_naso 47.2 97 282 6 2 1 1 2 94 39 47 103 3
Euchoreutes_naso 3.5 83 41 12 4 0 2 6 14 1 7 20 3
Euchoreutes_naso 3.3 85 77 24 8 0 4 12 26 5 13 34 3
Eudocimus_ruber 9.1 100 63 7 5 0 0 2 46 0 0 18 1
Eudyptes_chrysocome 2.5 100 26 11 5 4 0 2 12 11 0 4 6
Eudyptes_chrysocome 2.5 100 26 11 5 4 0 2 12 11 0 4 6
Eudyptes_chrysocome 14.9 100 103 7 5 0 0 2 74 0 0 30 6
Eudyptes_chrysocome 14.9 100 103 7 5 0 0 2 74 0 0 30 6
Eudyptes_chrysocome 2.7 98 214 81 24 35 5 17 67 93 12 43 6
Eudyptes_chrysocome 2.7 98 214 81 24 35 5 17 67 93 12 43 6
Eudyptula_minor 9.7 99 768 79 24 31 7 17 239 299 65 166 2
Eudyptula_minor 20.9 100 145 7 5 0 0 2 104 0 0 42 2
Eulabeornis_castaneoventris 2.1 90 189 85 26 38 1 20 54 94 2 40 5
Eulabeornis_castaneoventris 4.3 97 107 25 12 6 1 6 52 25 5 26 5
Eulabeornis_castaneoventris 3.3 95 29 9 1 8 0 0 4 26 0 0 5
Eulabeornis_castaneoventris 1.9 98 287 150 48 42 5 55 93 82 8 105 5
Eulabeornis_castaneoventris 2.9 98 274 94 27 46 1 20 80 132 3 60 5
Eulemur_fulvus_fulvus 67.7 97 401 6 2 1 1 2 133 64 68 137 1
Eulemur_fulvus_mayottensis 64.7 98 387 6 2 1 1 2 130 62 63 133 1
Eulemur_macaco_macaco 5.5 96 32 6 2 0 0 4 12 0 1 20 3
Eulemur_macaco_macaco 44.3 99 265 6 2 1 1 2 88 44 45 89 3
